Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
c41c41da-17f9-49f6-8e11,2024-03-02,06:32:15,Station,Credit Card,,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-03-02,08:00:00,10:15:00,11:07:00,Delayed,Weather,No
a1056143-6f7c-434d-bbd1,2024-04-24,22:31:50,Station,Contactless,,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-04-25,00:00:00,01:20:00,01:20:00,On Time,,No
cd455a12-887e-4e58-9312,2024-03-27,10:26:54,Station,Contactless,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-28,08:45:00,09:15:00,09:15:00,On Time,,No
2d2a0878-cc20-4ce8-8a3c,2024-02-13,06:34:35,Station,Credit Card,,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-13,08:00:00,10:15:00,11:04:00,Delayed,Weather Conditions,No
34e3b32e-d6d8-4968-b3cc,2024-04-02,20:29:48,Online,Credit Card,,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-04-03,18:45:00,20:05:00,,Cancelled,Signal Failure,No
671ede8a-bbb1-4b75-852a,2024-01-02,04:49:16,Station,Credit Card,,Standard,Advance,13,London Paddington,Reading,2024-01-03,03:15:00,04:15:00,04:15:00,On Time,,No
31628a20-4ee9-4683-8538,2024-02-12,18:23:59,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-12,18:45:00,19:15:00,19:15:00,On Time,,No
0b755c4f-61f4-4787-994c,2024-04-09,06:52:46,Online,Contactless,,First Class,Anytime,29,Manchester Piccadilly,Leeds,2024-04-09,08:15:00,09:00:00,09:00:00,On Time,,No
e522dd5c-f1a7-4bf7-a6a6,2024-03-23,06:08:47,Online,Credit Card,,Standard,Off-Peak,110,London Paddington,Manchester Piccadilly,2024-03-23,07:30:00,09:45:00,09:45:00,On Time,,No
93b93db2-5372-46f5-8520,2024-03-03,12:02:24,Station,Contactless,,Standard,Advance,7,London Euston,Birmingham New Street,2024-03-04,10:30:00,11:50:00,11:50:00,On Time,,No
e149328e-6ed5-4d7c-ab84,2024-01-02,06:35:02,Online,Debit Card,,Standard,Anytime,143,London Euston,Manchester Piccadilly,2024-01-02,08:00:00,09:50:00,09:50:00,On Time,,No
58f8737b-412e-4dac-a9aa,2024-04-20,19:22:38,Online,Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-04-21,18:45:00,19:15:00,19:15:00,On Time,,No
a007aa6d-0a1a-422c-8c3f,2024-02-11,08:04:56,Online,Credit Card,Adult,First Class,Advance,35,London Euston,Birmingham New Street,2024-02-12,06:30:00,07:50:00,07:50:00,On Time,,No
4724bec9-c1a6-487b-bba7,2024-04-19,08:00:58,Online,Debit Card,,Standard,Advance,72,London Euston,Manchester Piccadilly,2024-04-20,06:30:00,08:20:00,08:20:00,On Time,,No
3bb99781-c7cc-4e24-bca6,2024-01-28,18:24:39,Online,Credit Card,Senior,Standard,Off-Peak,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-28,18:45:00,19:15:00,,Cancelled,Staffing,No
71f73dbe-4637-40f7-82ff,2024-04-07,15:21:25,Station,Credit Card,,Standard,Off-Peak,19,London Paddington,Reading,2024-04-07,17:45:00,18:45:00,18:45:00,On Time,,No
7ec9a2a2-0e44-4a43-8252,2024-03-20,07:24:16,Online,Credit Card,,Standard,Advance,13,London Paddington,Reading,2024-03-21,05:45:00,06:45:00,06:45:00,On Time,,No
088b75aa-180d-4c70-b814,2024-02-12,09:42:59,Station,Credit Card,,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-15,08:00:00,10:15:00,10:30:00,Delayed,Weather,No
a946dc6b-e1aa-4b93-afdd,2024-03-10,16:30:33,Online,Contactless,Senior,Standard,Advance,8,London Paddington,Reading,2024-03-11,15:00:00,16:00:00,16:00:00,On Time,,No
b73dff10-4a76-483a-b8ef,2024-01-20,05:00:21,Station,Credit Card,,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-12,03:30:00,05:20:00,05:34:00,Delayed,Weather Conditions,No
3854d74e-6645-4b37-9634,2024-02-13,13:25:18,Station,Contactless,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-16,11:45:00,12:15:00,12:15:00,On Time,,No
4a0f04bf-1ba8-42b6-9288,2024-02-28,20:24:34,Online,Contactless,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-01,18:45:00,19:15:00,19:15:00,On Time,,No
72a618e3-c3cf-4b94-a53a,2024-02-04,16:08:51,Online,Credit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-04,17:30:00,18:00:00,18:00:00,On Time,,No
868c3f2c-ae5e-40f2-bd0a,2024-04-11,07:15:22,Online,Credit Card,,Standard,Anytime,25,London Paddington,Reading,2024-04-11,07:45:00,08:45:00,08:45:00,On Time,,No
e211ac1c-cc5c-4777-b59e,2024-01-21,14:47:59,Station,Debit Card,Senior,First Class,Advance,78,Liverpool Lime Street,London Euston,2024-01-22,09:30:00,11:45:00,11:57:00,Delayed,Traffic,Yes
6d31fa80-4d6a-4798-b687,2024-04-03,16:07:50,Station,Credit Card,Disabled,Standard,Advance,23,London Kings Cross,York,2024-04-04,14:30:00,16:20:00,16:20:00,On Time,,No
a5d91d50-43ef-4d79-af95,2024-02-02,08:19:10,Station,Credit Card,,First Class,Advance,57,London Kings Cross,York,2024-02-17,06:45:00,08:35:00,08:35:00,On Time,,No
0ca84a4b-6192-44e5-a340,2024-02-04,20:06:49,Station,Contactless,Adult,First Class,Advance,33,Birmingham New Street,York,2024-02-06,18:30:00,20:15:00,20:15:00,On Time,,No
ef3a2a85-a149-4314-8771,2024-02-10,17:37:19,Station,Debit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-11,16:00:00,17:20:00,17:20:00,On Time,,No
b7cbc698-397b-416c-be52,2024-01-22,15:01:49,Station,Contactless,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-23,13:30:00,14:00:00,14:00:00,On Time,,No
823cecab-a779-4084-bc40,2024-04-19,09:31:34,Station,Credit Card,Adult,Standard,Off-Peak,24,York,Edinburgh,2024-04-19,11:00:00,13:30:00,13:30:00,On Time,,No
79164814-8122-4a1f-8bc6,2024-03-03,08:22:04,Online,Credit Card,,Standard,Advance,13,London Paddington,Reading,2024-03-04,07:45:00,08:45:00,08:45:00,On Time,,No
ad315b2b-e441-4d19-a1fd,2024-04-26,08:12:07,Online,Credit Card,,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-04-27,06:30:00,06:50:00,06:50:00,On Time,,No
b3d7b8c2-c050-45c2-af76,2024-02-03,17:42:45,Station,Contactless,,Standard,Off-Peak,19,London Paddington,Reading,2024-02-03,19:00:00,20:00:00,20:00:00,On Time,,No
40d56aa5-ee26-4c21-9191,2024-03-25,20:21:00,Online,Credit Card,,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-03-26,18:45:00,19:05:00,19:05:00,On Time,,No
e6e8feb1-e545-43da-a3ac,2024-02-07,20:44:50,Station,Credit Card,,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-02-14,19:00:00,20:20:00,20:20:00,On Time,,No
70b40c07-8297-4416-86de,2024-02-14,04:44:50,Online,Credit Card,,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-28,03:00:00,03:30:00,03:30:00,On Time,,No
b0d21847-3a30-43f2-a06b,2024-03-04,17:46:22,Online,Credit Card,,Standard,Advance,7,London Euston,Birmingham New Street,2024-03-05,16:15:00,17:35:00,17:35:00,On Time,,No
1c771963-061a-4088-aeec,2024-02-29,13:18:58,Online,Contactless,,First Class,Advance,52,London Euston,Birmingham New Street,2024-03-01,11:45:00,13:05:00,13:05:00,On Time,,No
1f31e5cf-63c8-4354-a2c0,2024-01-09,16:18:01,Online,Credit Card,Senior,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-10,14:45:00,15:15:00,15:15:00,On Time,,No
d7ff647a-8e50-42cd-991e,2024-02-02,03:05:13,Station,Contactless,,Standard,Off-Peak,53,London Kings Cross,York,2024-02-02,04:30:00,06:20:00,06:20:00,On Time,,No
a688f241-6a47-4a12-9aa7,2024-01-27,14:04:27,Online,Contactless,,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-28,12:30:00,13:00:00,13:00:00,On Time,,No
dbd8dcac-597e-491f-8a0e,2024-04-21,15:33:06,Online,Credit Card,Adult,Standard,Off-Peak,8,London St Pancras,Birmingham New Street,2024-04-21,17:00:00,18:20:00,18:20:00,On Time,,No
afa83882-01f8-41c6-83dc,2024-03-07,17:54:18,Online,Credit Card,,Standard,Advance,7,London Euston,Birmingham New Street,2024-03-08,16:15:00,17:35:00,17:35:00,On Time,,No
bdff1ccd-0d74-4cdd-8506,2024-02-11,04:54:29,Station,Contactless,,Standard,Off-Peak,53,London Kings Cross,York,2024-02-11,06:15:00,08:05:00,08:05:00,On Time,,No
85de3a5f-dda1-46de-8913,2024-03-05,16:56:26,Online,Credit Card,,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-03-06,15:15:00,16:35:00,16:35:00,On Time,,No
e56df9f1-c7cc-4db3-88c8,2024-03-05,08:29:08,Station,Credit Card,,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-03-06,06:45:00,07:15:00,07:15:00,On Time,,No
003bec4c-5614-4959-972e,2024-02-14,12:37:08,Online,Contactless,,Standard,Advance,4,Manchester Piccadilly,Sheffield,2024-02-19,11:00:00,11:45:00,11:45:00,On Time,,No
0ec43b19-1d89-477c-b66d,2024-03-11,17:21:19,Online,Credit Card,,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-03-11,18:45:00,20:05:00,20:05:00,On Time,,No
d10ea8e9-fbc8-4a52-a836,2024-03-22,07:17:40,Online,Credit Card,,Standard,Anytime,35,London Paddington,Oxford,2024-03-22,07:45:00,09:15:00,09:15:00,On Time,,No
8c847f9a-673e-48e2-9ada,2024-02-11,21:32:54,Station,Credit Card,,First Class,Advance,27,London Paddington,Reading,2024-02-19,20:00:00,21:00:00,21:00:00,On Time,,No
82f279fe-d958-4477-8951,2024-01-31,06:32:59,Online,Contactless,Adult,Standard,Advance,48,London Euston,Manchester Piccadilly,2024-02-01,05:00:00,06:50:00,06:50:00,On Time,,No
416472d8-3c4a-4627-a792,2024-04-24,03:13:47,Online,Credit Card,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-04-25,01:30:00,02:00:00,02:54:00,Delayed,Signal Failure,Yes
b30d8249-dc85-4b1c-916f,2024-04-03,10:23:45,Online,Credit Card,,Standard,Advance,35,London Kings Cross,York,2024-04-04,08:45:00,10:35:00,10:35:00,On Time,,No
262bbed9-c0ed-4453-a43a,2024-03-13,19:35:13,Station,Credit Card,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-14,17:45:00,18:15:00,18:15:00,On Time,,No
437ff14a-c6cb-4801-b6e9,2024-03-30,02:59:50,Station,Contactless,Adult,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-03-30,04:15:00,05:35:00,05:35:00,On Time,,No
feeff05e-a33b-4b98-bdcb,2024-04-23,09:44:37,Online,Credit Card,Disabled,First Class,Advance,72,London Euston,Manchester Piccadilly,2024-04-24,08:00:00,09:50:00,09:50:00,On Time,,No
4855c21d-484a-4cfa-8ffc,2024-01-17,19:26:06,Online,Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-18,18:45:00,19:15:00,19:15:00,On Time,,No
2b6cf6c4-f9cb-47d8-8bd0,2024-03-13,17:21:51,Online,Credit Card,,First Class,Anytime,54,London Paddington,Reading,2024-03-13,18:45:00,19:45:00,19:45:00,On Time,,No
ba150fae-b26c-413d-8e42,2024-01-19,10:31:17,Station,Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-20,09:00:00,09:45:00,12:23:00,Delayed,Signal Failure,No
a1486c9e-f0f5-4704-b046,2024-03-27,07:28:59,Online,Contactless,,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-03-27,08:45:00,09:15:00,09:15:00,On Time,,No
515d3379-5d82-4d54-a3a1,2024-02-26,19:31:37,Station,Debit Card,Adult,Standard,Advance,8,London Paddington,Reading,2024-02-28,17:45:00,18:45:00,18:45:00,On Time,,No
348b415f-a763-4bcc-9ce1,2024-01-24,01:15:29,Online,Credit Card,,First Class,Advance,27,London Paddington,Reading,2024-01-25,23:45:00,00:45:00,00:45:00,On Time,,No
cb0818ee-1095-4d20-b9d4,2024-01-19,09:33:52,Online,Credit Card,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-20,08:00:00,08:30:00,08:30:00,On Time,,No
a8a0fa1e-b5ed-4b8f-94b1,2024-01-08,18:15:21,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-08,18:45:00,19:15:00,19:15:00,On Time,,No
8af24040-e04c-4bc9-9f50,2024-01-04,09:20:14,Station,Credit Card,,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,10:45:00,11:15:00,11:15:00,On Time,,No
67d160eb-153c-4142-a0cd,2024-02-08,23:02:59,Station,Credit Card,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-02-09,21:30:00,22:00:00,22:00:00,On Time,,No
3fdef99f-1d1b-4b38-ac43,2024-03-23,06:00:02,Online,Credit Card,,Standard,Off-Peak,53,London Kings Cross,York,2024-03-23,07:30:00,09:20:00,09:20:00,On Time,,No
2f3f269c-5fea-49b5-9539,2024-01-26,03:03:31,Online,Contactless,Disabled,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-27,01:30:00,02:00:00,02:00:00,On Time,,No
efae4b45-5a15-4c28-ba47,2024-01-03,13:27:20,Online,Credit Card,Senior,Standard,Off-Peak,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,14:45:00,15:15:00,15:15:00,On Time,,No
d1295eaf-f6b7-49b1-8ff5,2024-02-11,10:44:16,Online,Contactless,,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-02-11,12:00:00,13:20:00,13:20:00,On Time,,No
f0f6afa8-903e-4c9a-b15b,2024-02-13,12:43:59,Station,Credit Card,,Standard,Off-Peak,19,London Paddington,Reading,2024-02-13,14:00:00,15:00:00,15:00:00,On Time,,No
badd5c52-9c6d-41f2-bf5e,2024-04-21,11:04:02,Station,Contactless,,Standard,Advance,35,London Kings Cross,York,2024-04-22,09:30:00,11:20:00,11:20:00,On Time,,No
819c20bd-bc60-4baf-b1a2,2024-01-08,20:27:46,Online,Credit Card,Senior,Standard,Advance,6,Liverpool Lime Street,Crewe,2024-01-09,18:45:00,19:20:00,19:20:00,On Time,,No
d1016109-516f-423f-8940,2024-04-23,21:49:31,Station,Credit Card,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-04-24,20:15:00,20:45:00,20:45:00,On Time,,No
10af9ad6-730c-4494-a5c6,2024-02-05,02:06:00,Station,Credit Card,,Standard,Off-Peak,126,Manchester Piccadilly,London Euston,2024-02-05,03:30:00,05:20:00,05:32:00,Delayed,Weather Conditions,No
02982fa4-4fd2-413f-8bc0,2024-02-19,08:20:34,Online,Credit Card,,Standard,Advance,13,London Paddington,Reading,2024-02-28,07:45:00,08:45:00,08:45:00,On Time,,No
a744120c-2823-4ca6-9cbb,2024-04-08,01:20:02,Online,Contactless,Disabled,Standard,Advance,5,York,Durham,2024-04-09,23:45:00,00:35:00,00:35:00,On Time,,No
480fb8d6-9fb9-49c4-9ad2,2024-02-03,18:36:38,Station,Credit Card,,Standard,Adavnce,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-20,17:00:00,17:30:00,17:30:00,On Time,,No
8075d3b8-b9eb-4b94-b22e,2024-01-15,16:23:32,Online,Credit Card,,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-16,14:45:00,15:15:00,15:15:00,On Time,,No
064781b7-2d86-43c4-a16b,2024-01-24,11:48:08,Station,Credit Card,,Standard,Advance,77,Liverpool Lime Street,London St Pancras,2024-01-25,10:15:00,12:45:00,12:45:00,On Time,,No
62b88907-0ae1-4654-a62a,2024-01-02,07:33:23,Online,Contactless,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,06:00:00,06:30:00,06:30:00,On Time,,No
521b3788-9c1c-4a02-9193,2024-03-21,15:40:30,Online,Credit Card,,Standard,Anytime,13,London Euston,Birmingham New Street,2024-03-21,17:00:00,18:20:00,18:20:00,On Time,,No
3d0303fd-0060-4693-b484,2024-03-08,04:45:06,Online,Credit Card,,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-03-09,03:15:00,03:45:00,03:45:00,On Time,,No
441c6292-91ea-404f-8bb4,2024-04-13,10:28:15,Online,Contactless,,Standard,Advance,13,London Paddington,Reading,2024-04-14,08:45:00,09:45:00,9:45 AM,On Time,,No
82530b58-e6fa-4584-a8e5,2024-03-19,17:30:12,Station,Credit Card,Adult,Standard,Advance,23,London Kings Cross,York,2024-03-20,16:00:00,17:50:00,17:50:00,On Time,,No
e4db8a61-4502-4fc7-9e87,2024-03-04,16:10:00,Station,Debit Card,,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-03-04,17:45:00,19:05:00,19:05:00,On Time,,No
33782eda-ee6a-44aa-87f4,2024-04-16,16:16:41,Station,Credit Card,,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-04-16,17:45:00,19:05:00,19:05:00,On Time,,No
e83fe7e8-1c80-4504-925a,2024-04-27,15:07:03,Station,Contactless,Senior,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,2024-04-28,13:30:00,14:00:00,14:00:00,On Time,,No
34b26266-2cfe-4b7c-a645,2024-03-08,23:11:28,Station,Credit Card,,Standard,Advance,13,London Paddington,Reading,2024-03-09,21:30:00,22:30:00,22:30:00,On Time,,No
258cb9d4-2bc5-4346-9272,2024-02-02,21:34:42,Station,Credit Card,,First Class,Advance,27,London Paddington,Reading,2024-02-10,20:00:00,21:00:00,21:00:00,On Time,,No
d6e079cf-e0f0-408b-b3bb,2024-02-07,20:26:16,Online,Credit Card,,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-02-08,18:45:00,19:05:00,19:05:00,On Time,,No
d7e1041e-09d5-450f-9fcd,2024-04-04,05:19:04,Station,Credit Card,,Standard,Anytime,6,Liverpool Lime Street,Manchester Piccadilly,2024-04-04,06:45:00,07:15:00,07:15:00,On Time,,No
dc8326cf-9669-4d58-939a,2024-01-16,06:34:50,Online,Contactless,Adult,Standard,Advance,48,London Euston,Manchester Piccadilly,2024-01-17,05:00:00,06:50:00,06:50:00,On Time,,No
5aeac87c-06d0-4711-8d50,2024-04-11,08:33:51,Online,Contactless,Adult,Standard,Advance,11,Oxford,Bristol Temple Meads,2024-04-12,07:00:00,08:15:00,08:15:00,On Time,,No
43c88835-cc88-4e3b-a3fb,2024-01-16,20:13:16,Station,Credit Card,,Standard,Off-Peak,19,London Paddington,Reading,2024-01-16,21:30:00,22:30:00,22:30:00,On Time,,No
985d5019-cdc9-475e-a9fb,2024-04-29,17:40:34,Station,Debit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-04-30,16:00:00,17:20:00,17:20:00,On Time,,No
d3a08c1c-a867-42bb-aa5a,2024-03-05,13:06:20,Station,Credit Card,Adult,Standard,Off-Peak,13,London Paddington,Reading,2024-03-05,14:30:00,15:30:00,15:30:00,On Time,,No
ab49f259-e8b0-4722-a713,2024-04-29,01:02:38,Online,Credit Card,,Standard,dAvance,76,Liverpool Lime Street,London Euston,2024-04-30,23:30:00,01:45:00,01:45:00,On Time,,No
fc488eff-453d-4efc-8645,2024-02-18,17:20:53,Online,Credit Card,,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-02-18,18:45:00,20:05:00,20:05:00,On Time,,No
f0c44301-4968-42aa-9628,2024-03-28,19:08:05,Station,Contactless,,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2024-03-28,20:30:00,21:00:00,21:00:00,On Time,,No
6adeb0c1-46b4-45e4-87f4,2024-04-07,18:19:09,Online,Credit Card,Senior,First Class,Off-Peak,29,London St Pancras,Leicester,2024-04-07,18:45:00,19:45:00,19:45:00,On Time,,No
c99646dc-1a51-4b5f-9691,2024-04-08,09:44:32,Station,Credit Card,,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-04-09,08:00:00,10:15:00,10:27:00,Delayed,Weather,No
8439e7a4-c68e-4a75-b365,2024-04-12,09:13:24,Online,Credit Card,Disabled,Standard,Advance,4,York,Doncaster,2024-04-13,07:30:00,08:00:00,08:00:00,On Time,,No
da86ffc6-d902-45f8-98a4,2024-01-12,20:19:49,Online,Credit Card,,First Class,Advance,54,London St Pancras,Birmingham New Street,2024-01-13,18:45:00,20:05:00,20:05:00,On Time,,No
cf77e9da-0981-4b5b-a67e,2024-03-28,19:29:33,Station,Debit Card,,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-03-29,17:45:00,19:05:00,19:05:00,On Time,,No
ce7d88d5-0caf-49be-83e2,2024-04-29,07:27:05,Online,Credit Card,,First Class,Anytime,54,London Paddington,Reading,2024-04-29,7:45 AM,08:45:00,08:45:00,On Time,,No
17c2aaa4-05f7-4e5c-9f05,2024-04-15,10:09:19,Online,Credit Card,Adult,Standard,Off-Peak,8,London St Pancras,Birmingham New Street,2024-04-15,11:30:00,12:50:00,12:50:00,On Time,,No
fb4ac890-4dd9-4f3c-859b,2024-03-02,11:47:04,Online,Credit Card,,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-03-02,13:15:00,14:35:00,14:35:00,On Time,,No
d0d54a3b-d75d-4f98-a38c,2024-04-26,08:18:50,Online,Contactless,,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-04-26,09:45:00,11:05:00,11:05:00,On Time,,No
8fe49731-42de-4676-b4a9,2024-03-16,05:02:18,Online,Credit Card,,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-03-16,06:30:00,07:50:00,07:50:00,On Time,,No
22596f62-8ab2-4ef9-985d,2024-02-22,14:50:25,Online,Contactless,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-02-23,13:15:00,14:35:00,14:35:00,On Time,,No
