Transaction_ID,Date_of_Purchase,Time_of_Purchase,Purchase_Type,Payment_Method,Railcard,Ticket_Class,Ticket_Type,Price,Departure_Station,Arrival_Destination,Date_of_Journey,Departure_Time,Arrival_Time,Actual_Arrival_Time,Journey_Status,Reason_for_Delay,Refund_Request,Log_Price,Reason_Group,Delay_Duration,Delay_Duration_Minutes,Delay_Category,Hour,DayOfWeek,Route
4717e289-49ea-40e4-91e6,2024-02-19,8:27:50.000,Online,Credit Card,None,Standard,Advance,18,London Paddington,Oxford,2024-02-25,7:45:00.000,9:15:00.000,9:15:00.000,On Time,No Delay,No,2.8903717579,None,,,No Delay,7,1,London Paddington to Oxford
6266067b-c119-42d2-b755,2024-04-21,14:25:28.000,Online,Credit Card,Disabled,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-04-21,15:45:00.000,17:05:00.000,17:05:00.000,On Time,No Delay,No,1.9459101491,None,,,No Delay,15,1,London Euston to Birmingham New Street
2255fafb-08b1-48d4-a55f,2024-01-11,20:28:10.000,Station,Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-01-12,17:45:00.000,19:35:00.000,,Cancelled,Signal Failure,No,3.5553480615,Infrastructure,,,Cancelled,17,6,London Kings Cross to York
81a533dd-4ffb-4cc8-9b50,2024-01-06,20:46:09.000,Station,Credit Card,None,Standard,Off-Peak,53,London Kings Cross,York,2024-01-06,22:15:00.000,0:05:00.000,0:05:00.000,On Time,No Delay,No,3.9702919136,None,,,No Delay,22,7,London Kings Cross to York
709c106d-a8ec-4db9-846a,2024-02-08,16:21:29.000,Online,Credit Card,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-02-11,14:45:00.000,16:05:00.000,16:05:00.000,On Time,No Delay,No,1.6094379124,None,,,No Delay,14,1,London St Pancras to Birmingham New Street
fd03bf63-5fc5-4810-94e3,2024-04-13,19:46:17.000,Station,Credit Card,None,First Class,Off-Peak,78,London Euston,Birmingham New Street,2024-04-13,21:15:00.000,22:35:00.000,22:35:00.000,On Time,No Delay,No,4.3567088267,None,,,No Delay,21,7,London Euston to Birmingham New Street
4636717b-89e5-4cc3-be3a,2024-01-17,10:40:56.000,Station,Contactless,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-18,9:00:00.000,9:30:00.000,9:30:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,9,5,Liverpool Lime Street to Manchester Piccadilly
e33e7ae5-b8f0-4869-b7ce,2024-01-19,12:42:14.000,Online,Credit Card,Adult,Standard,Off-Peak,8,London St Pancras,Birmingham New Street,2024-01-19,14:00:00.000,15:20:00.000,15:20:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,14,6,London St Pancras to Birmingham New Street
58000960-7ab9-48ca-8898,2024-03-27,12:32:22.000,Online,Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-03-28,11:00:00.000,12:20:00.000,12:20:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,11,5,London St Pancras to Birmingham New Street
8bc88dec-9bd8-4a89-9994,2024-02-09,6:23:56.000,Station,Credit Card,Disabled,Standard,Anytime,11,London St Pancras,Birmingham New Street,2024-02-09,7:45:00.000,9:05:00.000,9:05:00.000,On Time,No Delay,No,2.3978952728,None,,,No Delay,7,6,London St Pancras to Birmingham New Street
dca731ba-c49b-437f-811d,2024-03-15,16:10:13.000,Station,Contactless,None,Standard,Anytime,70,London Kings Cross,York,2024-03-15,17:45:00.000,19:35:00.000,,Cancelled,Signal Failure,Ye,4.248495242,Infrastructure,,,Cancelled,17,6,London Kings Cross to York
7d9455f4-bd5d-4d59-b00c,2024-04-27,17:13:26.000,Station,Debit Card,Adult,Standard,Off-Peak,76,Liverpool Lime Street,London Euston,2024-04-27,17:30:00.000,19:45:00.000,20:05:00.000,Delayed,Technical Issue,Ye,4.3307333403,Infrastructure,1200,20,Moderate,17,7,Liverpool Lime Street to London Euston
704ee1a5-aa39-49b6-b489,2024-01-02,5:05:21.000,Online,Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,2024-01-02,6:30:00.000,7:50:00.000,7:50:00.000,On Time,No Delay,No,3.36729583,None,,,No Delay,6,3,Birmingham New Street to London St Pancras
c03218ef-ff8f-45f4-89fa,2024-04-11,10:37:45.000,Online,Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-04-12,9:00:00.000,10:00:00.000,10:00:00.000,On Time,No Delay,No,2.5649493575,None,,,No Delay,9,6,London Paddington to Reading
c41c41da-17f9-49f6-8e11,2024-03-02,6:32:15.000,Station,Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-03-02,8:00:00.000,10:15:00.000,11:07:00.000,Delayed,Weather,No,4.7273878187,Weather,3120,52,Severe,8,7,Liverpool Lime Street to London Euston
a1056143-6f7c-434d-bbd1,2024-04-24,22:31:50.000,Station,Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-04-25,0:00:00.000,1:20:00.000,1:20:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,0,5,London St Pancras to Birmingham New Street
cd455a12-887e-4e58-9312,2024-03-27,10:26:54.000,Station,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-28,8:45:00.000,9:15:00.000,9:15:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,8,5,Manchester Piccadilly to Liverpool Lime Street
2d2a0878-cc20-4ce8-8a3c,2024-02-13,6:34:35.000,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-13,8:00:00.000,10:15:00.000,11:04:00.000,Delayed,Weather,No,5.0172798368,Weather,2940,49,Severe,8,3,Liverpool Lime Street to London Euston
34e3b32e-d6d8-4968-b3cc,2024-04-02,20:29:48.000,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-04-03,18:45:00.000,20:05:00.000,,Cancelled,Signal Failure,No,2.0794415417,Infrastructure,,,Cancelled,18,4,London St Pancras to Birmingham New Street
671ede8a-bbb1-4b75-852a,2024-01-02,4:49:16.000,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-03,3:15:00.000,4:15:00.000,4:15:00.000,On Time,No Delay,No,2.5649493575,None,,,No Delay,3,4,London Paddington to Reading
31628a20-4ee9-4683-8538,2024-02-12,18:23:59.000,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-12,18:45:00.000,19:15:00.000,19:15:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,18,2,Manchester Piccadilly to Liverpool Lime Street
0b755c4f-61f4-4787-994c,2024-04-09,6:52:46.000,Online,Contactless,None,First Class,Anytime,29,Manchester Piccadilly,Leeds,2024-04-09,8:15:00.000,9:00:00.000,9:00:00.000,On Time,No Delay,No,3.36729583,None,,,No Delay,8,3,Manchester Piccadilly to Leeds
e522dd5c-f1a7-4bf7-a6a6,2024-03-23,6:08:47.000,Online,Credit Card,None,Standard,Off-Peak,110,London Paddington,Manchester Piccadilly,2024-03-23,7:30:00.000,9:45:00.000,9:45:00.000,On Time,No Delay,No,4.7004803658,None,,,No Delay,7,7,London Paddington to Manchester Piccadilly
93b93db2-5372-46f5-8520,2024-03-03,12:02:24.000,Station,Contactless,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-03-04,10:30:00.000,11:50:00.000,11:50:00.000,On Time,No Delay,No,1.9459101491,None,,,No Delay,10,2,London Euston to Birmingham New Street
e149328e-6ed5-4d7c-ab84,2024-01-02,6:35:02.000,Online,Debit Card,None,Standard,Anytime,143,London Euston,Manchester Piccadilly,2024-01-02,8:00:00.000,9:50:00.000,9:50:00.000,On Time,No Delay,No,4.9628446303,None,,,No Delay,8,3,London Euston to Manchester Piccadilly
58f8737b-412e-4dac-a9aa,2024-04-20,19:22:38.000,Online,Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-04-21,18:45:00.000,19:15:00.000,19:15:00.000,On Time,No Delay,No,0.6931471806,None,,,No Delay,18,1,Manchester Piccadilly to Liverpool Lime Street
a007aa6d-0a1a-422c-8c3f,2024-02-11,8:04:56.000,Online,Credit Card,Adult,First Class,Advance,35,London Euston,Birmingham New Street,2024-02-12,6:30:00.000,7:50:00.000,7:50:00.000,On Time,No Delay,No,3.5553480615,None,,,No Delay,6,2,London Euston to Birmingham New Street
4724bec9-c1a6-487b-bba7,2024-04-19,8:00:58.000,Online,Debit Card,None,Standard,Advance,72,London Euston,Manchester Piccadilly,2024-04-20,6:30:00.000,8:20:00.000,8:20:00.000,On Time,No Delay,No,4.276666119,None,,,No Delay,6,7,London Euston to Manchester Piccadilly
3bb99781-c7cc-4e24-bca6,2024-01-28,18:24:39.000,Online,Credit Card,Senior,Standard,Off-Peak,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-28,18:45:00.000,19:15:00.000,,Cancelled,Staffing,No,0.6931471806,Operational,,,Cancelled,18,1,Manchester Piccadilly to Liverpool Lime Street
71f73dbe-4637-40f7-82ff,2024-04-07,15:21:25.000,Station,Credit Card,None,Standard,Off-Peak,19,London Paddington,Reading,2024-04-07,17:45:00.000,18:45:00.000,18:45:00.000,On Time,No Delay,No,2.9444389792,None,,,No Delay,17,1,London Paddington to Reading
7ec9a2a2-0e44-4a43-8252,2024-03-20,7:24:16.000,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-03-21,5:45:00.000,6:45:00.000,6:45:00.000,On Time,No Delay,No,2.5649493575,None,,,No Delay,5,5,London Paddington to Reading
088b75aa-180d-4c70-b814,2024-02-12,9:42:59.000,Station,Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-15,8:00:00.000,10:15:00.000,10:30:00.000,Delayed,Weather,No,4.3307333403,Weather,900,15,Moderate,8,5,Liverpool Lime Street to London Euston
a946dc6b-e1aa-4b93-afdd,2024-03-10,16:30:33.000,Online,Contactless,Senior,Standard,Advance,8,London Paddington,Reading,2024-03-11,15:00:00.000,16:00:00.000,16:00:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,15,2,London Paddington to Reading
b73dff10-4a76-483a-b8ef,2024-01-20,5:00:21.000,Station,Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-12,3:30:00.000,5:20:00.000,5:34:00.000,Delayed,Weather,No,4.4308167988,Weather,840,14,Moderate,3,2,Manchester Piccadilly to London Euston
3854d74e-6645-4b37-9634,2024-02-13,13:25:18.000,Station,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-16,11:45:00.000,12:15:00.000,12:15:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,11,6,Manchester Piccadilly to Liverpool Lime Street
4a0f04bf-1ba8-42b6-9288,2024-02-28,20:24:34.000,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-01,18:45:00.000,19:15:00.000,19:15:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,18,6,Manchester Piccadilly to Liverpool Lime Street
72a618e3-c3cf-4b94-a53a,2024-02-04,16:08:51.000,Online,Credit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-04,17:30:00.000,18:00:00.000,18:00:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,17,1,Liverpool Lime Street to Manchester Piccadilly
868c3f2c-ae5e-40f2-bd0a,2024-04-11,7:15:22.000,Online,Credit Card,None,Standard,Anytime,25,London Paddington,Reading,2024-04-11,7:45:00.000,8:45:00.000,8:45:00.000,On Time,No Delay,No,3.2188758249,None,,,No Delay,7,5,London Paddington to Reading
e211ac1c-cc5c-4777-b59e,2024-01-21,14:47:59.000,Station,Debit Card,Senior,First Class,Advance,78,Liverpool Lime Street,London Euston,2024-01-22,9:30:00.000,11:45:00.000,11:57:00.000,Delayed,Traffic,Ye,4.3567088267,Operational,720,12,Moderate,9,2,Liverpool Lime Street to London Euston
6d31fa80-4d6a-4798-b687,2024-04-03,16:07:50.000,Station,Credit Card,Disabled,Standard,Advance,23,London Kings Cross,York,2024-04-04,14:30:00.000,16:20:00.000,16:20:00.000,On Time,No Delay,No,3.1354942159,None,,,No Delay,14,5,London Kings Cross to York
a5d91d50-43ef-4d79-af95,2024-02-02,8:19:10.000,Station,Credit Card,None,First Class,Advance,57,London Kings Cross,York,2024-02-17,6:45:00.000,8:35:00.000,8:35:00.000,On Time,No Delay,No,4.0430512678,None,,,No Delay,6,7,London Kings Cross to York
0ca84a4b-6192-44e5-a340,2024-02-04,20:06:49.000,Station,Contactless,Adult,First Class,Advance,33,Birmingham New Street,York,2024-02-06,18:30:00.000,20:15:00.000,20:15:00.000,On Time,No Delay,No,3.4965075615,None,,,No Delay,18,3,Birmingham New Street to York
ef3a2a85-a149-4314-8771,2024-02-10,17:37:19.000,Station,Debit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-11,16:00:00.000,17:20:00.000,17:20:00.000,On Time,No Delay,No,1.3862943611,None,,,No Delay,16,1,London Euston to Birmingham New Street
b7cbc698-397b-416c-be52,2024-01-22,15:01:49.000,Station,Contactless,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-23,13:30:00.000,14:00:00.000,14:00:00.000,On Time,No Delay,No,0.6931471806,None,,,No Delay,13,3,Manchester Piccadilly to Liverpool Lime Street
823cecab-a779-4084-bc40,2024-04-19,9:31:34.000,Station,Credit Card,Adult,Standard,Off-Peak,24,York,Edinburgh,2024-04-19,11:00:00.000,13:30:00.000,13:30:00.000,On Time,No Delay,No,3.1780538303,None,,,No Delay,11,6,York to Edinburgh
79164814-8122-4a1f-8bc6,2024-03-03,8:22:04.000,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-03-04,7:45:00.000,8:45:00.000,8:45:00.000,On Time,No Delay,No,2.5649493575,None,,,No Delay,7,2,London Paddington to Reading
ad315b2b-e441-4d19-a1fd,2024-04-26,8:12:07.000,Online,Credit Card,None,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-04-27,6:30:00.000,6:50:00.000,6:50:00.000,On Time,No Delay,No,1.9459101491,None,,,No Delay,6,7,Birmingham New Street to Nuneaton
b3d7b8c2-c050-45c2-af76,2024-02-03,17:42:45.000,Station,Contactless,None,Standard,Off-Peak,19,London Paddington,Reading,2024-02-03,19:00:00.000,20:00:00.000,20:00:00.000,On Time,No Delay,No,2.9444389792,None,,,No Delay,19,7,London Paddington to Reading
40d56aa5-ee26-4c21-9191,2024-03-25,20:21:00.000,Online,Credit Card,None,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-03-26,18:45:00.000,19:05:00.000,19:05:00.000,On Time,No Delay,No,1.9459101491,None,,,No Delay,18,3,Birmingham New Street to Nuneaton
e6e8feb1-e545-43da-a3ac,2024-02-07,20:44:50.000,Station,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-02-14,19:00:00.000,20:20:00.000,20:20:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,19,4,London St Pancras to Birmingham New Street
70b40c07-8297-4416-86de,2024-02-14,4:44:50.000,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-28,3:00:00.000,3:30:00.000,3:30:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,3,4,Liverpool Lime Street to Manchester Piccadilly
b0d21847-3a30-43f2-a06b,2024-03-04,17:46:22.000,Online,Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-03-05,16:15:00.000,17:35:00.000,17:35:00.000,On Time,No Delay,No,1.9459101491,None,,,No Delay,16,3,London Euston to Birmingham New Street
1c771963-061a-4088-aeec,2024-02-29,13:18:58.000,Online,Contactless,None,First Class,Advance,52,London Euston,Birmingham New Street,2024-03-01,11:45:00.000,13:05:00.000,13:05:00.000,On Time,No Delay,No,3.9512437186,None,,,No Delay,11,6,London Euston to Birmingham New Street
1f31e5cf-63c8-4354-a2c0,2024-01-09,16:18:01.000,Online,Credit Card,Senior,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-10,14:45:00.000,15:15:00.000,15:15:00.000,On Time,No Delay,No,0.6931471806,None,,,No Delay,14,4,Liverpool Lime Street to Manchester Piccadilly
d7ff647a-8e50-42cd-991e,2024-02-02,3:05:13.000,Station,Contactless,None,Standard,Off-Peak,53,London Kings Cross,York,2024-02-02,4:30:00.000,6:20:00.000,6:20:00.000,On Time,No Delay,No,3.9702919136,None,,,No Delay,4,6,London Kings Cross to York
a688f241-6a47-4a12-9aa7,2024-01-27,14:04:27.000,Online,Contactless,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-28,12:30:00.000,13:00:00.000,13:00:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,12,1,Liverpool Lime Street to Manchester Piccadilly
dbd8dcac-597e-491f-8a0e,2024-04-21,15:33:06.000,Online,Credit Card,Adult,Standard,Off-Peak,8,London St Pancras,Birmingham New Street,2024-04-21,17:00:00.000,18:20:00.000,18:20:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,17,1,London St Pancras to Birmingham New Street
afa83882-01f8-41c6-83dc,2024-03-07,17:54:18.000,Online,Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-03-08,16:15:00.000,17:35:00.000,17:35:00.000,On Time,No Delay,No,1.9459101491,None,,,No Delay,16,6,London Euston to Birmingham New Street
bdff1ccd-0d74-4cdd-8506,2024-02-11,4:54:29.000,Station,Contactless,None,Standard,Off-Peak,53,London Kings Cross,York,2024-02-11,6:15:00.000,8:05:00.000,8:05:00.000,On Time,No Delay,No,3.9702919136,None,,,No Delay,6,1,London Kings Cross to York
85de3a5f-dda1-46de-8913,2024-03-05,16:56:26.000,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-03-06,15:15:00.000,16:35:00.000,16:35:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,15,4,London St Pancras to Birmingham New Street
e56df9f1-c7cc-4db3-88c8,2024-03-05,8:29:08.000,Station,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-03-06,6:45:00.000,7:15:00.000,7:15:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,6,4,Liverpool Lime Street to Manchester Piccadilly
003bec4c-5614-4959-972e,2024-02-14,12:37:08.000,Online,Contactless,None,Standard,Advance,4,Manchester Piccadilly,Sheffield,2024-02-19,11:00:00.000,11:45:00.000,11:45:00.000,On Time,No Delay,No,1.3862943611,None,,,No Delay,11,2,Manchester Piccadilly to Sheffield
0ec43b19-1d89-477c-b66d,2024-03-11,17:21:19.000,Online,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-03-11,18:45:00.000,20:05:00.000,20:05:00.000,On Time,No Delay,No,2.7725887222,None,,,No Delay,18,2,London St Pancras to Birmingham New Street
d10ea8e9-fbc8-4a52-a836,2024-03-22,7:17:40.000,Online,Credit Card,None,Standard,Anytime,35,London Paddington,Oxford,2024-03-22,7:45:00.000,9:15:00.000,9:15:00.000,On Time,No Delay,No,3.5553480615,None,,,No Delay,7,6,London Paddington to Oxford
8c847f9a-673e-48e2-9ada,2024-02-11,21:32:54.000,Station,Credit Card,None,First Class,Advance,27,London Paddington,Reading,2024-02-19,20:00:00.000,21:00:00.000,21:00:00.000,On Time,No Delay,No,3.295836866,None,,,No Delay,20,2,London Paddington to Reading
82f279fe-d958-4477-8951,2024-01-31,6:32:59.000,Online,Contactless,Adult,Standard,Advance,48,London Euston,Manchester Piccadilly,2024-02-01,5:00:00.000,6:50:00.000,6:50:00.000,On Time,No Delay,No,3.8712010109,None,,,No Delay,5,5,London Euston to Manchester Piccadilly
416472d8-3c4a-4627-a792,2024-04-24,3:13:47.000,Online,Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-04-25,1:30:00.000,2:00:00.000,2:54:00.000,Delayed,Signal Failure,Ye,1.0986122887,Infrastructure,3240,54,Severe,1,5,Manchester Piccadilly to Liverpool Lime Street
b30d8249-dc85-4b1c-916f,2024-04-03,10:23:45.000,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-04-04,8:45:00.000,10:35:00.000,10:35:00.000,On Time,No Delay,No,3.5553480615,None,,,No Delay,8,5,London Kings Cross to York
262bbed9-c0ed-4453-a43a,2024-03-13,19:35:13.000,Station,Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-14,17:45:00.000,18:15:00.000,18:15:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,17,5,Manchester Piccadilly to Liverpool Lime Street
437ff14a-c6cb-4801-b6e9,2024-03-30,2:59:50.000,Station,Contactless,Adult,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-03-30,4:15:00.000,5:35:00.000,5:35:00.000,On Time,No Delay,No,1.9459101491,None,,,No Delay,4,7,London Euston to Birmingham New Street
feeff05e-a33b-4b98-bdcb,2024-04-23,9:44:37.000,Online,Credit Card,Disabled,First Class,Advance,72,London Euston,Manchester Piccadilly,2024-04-24,8:00:00.000,9:50:00.000,9:50:00.000,On Time,No Delay,No,4.276666119,None,,,No Delay,8,4,London Euston to Manchester Piccadilly
4855c21d-484a-4cfa-8ffc,2024-01-17,19:26:06.000,Online,Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-18,18:45:00.000,19:15:00.000,19:15:00.000,On Time,No Delay,No,0.6931471806,None,,,No Delay,18,5,Manchester Piccadilly to Liverpool Lime Street
2b6cf6c4-f9cb-47d8-8bd0,2024-03-13,17:21:51.000,Online,Credit Card,None,First Class,Anytime,54,London Paddington,Reading,2024-03-13,18:45:00.000,19:45:00.000,19:45:00.000,On Time,No Delay,No,3.9889840466,None,,,No Delay,18,4,London Paddington to Reading
ba150fae-b26c-413d-8e42,2024-01-19,10:31:17.000,Station,Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-20,9:00:00.000,9:45:00.000,12:23:00.000,Delayed,Signal Failure,No,1.7917594692,Infrastructure,9480,158,Severe,9,7,Manchester Piccadilly to Leeds
a1486c9e-f0f5-4704-b046,2024-03-27,7:28:59.000,Online,Contactless,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-03-27,8:45:00.000,9:15:00.000,9:15:00.000,On Time,No Delay,No,1.6094379124,None,,,No Delay,8,4,Manchester Piccadilly to Liverpool Lime Street
515d3379-5d82-4d54-a3a1,2024-02-26,19:31:37.000,Station,Debit Card,Adult,Standard,Advance,8,London Paddington,Reading,2024-02-28,17:45:00.000,18:45:00.000,18:45:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,17,4,London Paddington to Reading
348b415f-a763-4bcc-9ce1,2024-01-24,1:15:29.000,Online,Credit Card,None,First Class,Advance,27,London Paddington,Reading,2024-01-25,23:45:00.000,0:45:00.000,0:45:00.000,On Time,No Delay,No,3.295836866,None,,,No Delay,23,5,London Paddington to Reading
cb0818ee-1095-4d20-b9d4,2024-01-19,9:33:52.000,Online,Credit Card,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-01-20,8:00:00.000,8:30:00.000,8:30:00.000,On Time,No Delay,No,0.6931471806,None,,,No Delay,8,7,Manchester Piccadilly to Liverpool Lime Street
a8a0fa1e-b5ed-4b8f-94b1,2024-01-08,18:15:21.000,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-08,18:45:00.000,19:15:00.000,19:15:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,18,2,Manchester Piccadilly to Liverpool Lime Street
8af24040-e04c-4bc9-9f50,2024-01-04,9:20:14.000,Station,Credit Card,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-04,10:45:00.000,11:15:00.000,11:15:00.000,On Time,No Delay,No,1.3862943611,None,,,No Delay,10,5,Manchester Piccadilly to Liverpool Lime Street
67d160eb-153c-4142-a0cd,2024-02-08,23:02:59.000,Station,Credit Card,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-02-09,21:30:00.000,22:00:00.000,22:00:00.000,On Time,No Delay,No,0.6931471806,None,,,No Delay,21,6,Liverpool Lime Street to Manchester Piccadilly
